artist,date,location
Lloyd,Thursday 21 April 2022,"Cadogan Hall, London, UK"
Lloyd,Tuesday 19 April 2022,"Albert Hall, Manchester, UK"
Lloyd,Friday 22 April 2022,"Cadogan Hall, London, UK"
Lloyd,Wednesday 16 February 2022,"St George's Bristol, Bristol, UK"
Lloyd,Thursday 24 February 2022,"Göta Lejon, Stockholm, Sweden"
Lloyd,Monday 25 April 2022,"Glasgow Royal Concert Hall, Glasgow, UK"
Lloyd,Wednesday 27 April 2022,"Albert Hall Nottingham, Nottingham, UK"
Lloyd,Wednesday 04 May 2022,"Tramshed, Cardiff, UK"
Lloyd,Sunday 01 May 2022,"The Brook, Southampton, UK"
Lloyd,Thursday 28 April 2022,"De La Warr Pavilion, Bexhill-On-Sea, UK"
T-Pain,Saturday 12 March 2022,"Hard Rock Stadium, Miami, FL, US"
T-Pain,Monday 04 April 2022,"Don't Panic, Essen, Germany"
Blxst,Saturday 30 April 2022,"Discovery Park, Sacramento, CA, US"
Justin Bieber,Monday 06 March 2023,"AccorHotels Arena, Paris, France"
Justin Bieber,Monday 23 January 2023,"WiZink Center, Madrid, Spain"
Justin Bieber,Monday 13 February 2023,"The O2, London, UK"
Justin Bieber,Wednesday 25 January 2023,"Palau Sant Jordi, Barcelona, Spain"
Justin Bieber,Thursday 16 February 2023,"The O2, London, UK"
Justin Bieber,Tuesday 07 March 2023,"AccorHotels Arena, Paris, France"
Justin Bieber,Tuesday 14 February 2023,"The O2, London, UK"
Justin Bieber,Wednesday 30 November 2022,"Sydney Football Stadium, Sydney, NSW, Australia"
Justin Bieber,Friday 13 January 2023,"Ziggo Dome, Amsterdam, Netherlands"
Justin Bieber,Saturday 26 November 2022,"Marvel Stadium, Melbourne, VIC, Australia"
Guy Sebastian,Saturday 23 April 2022,"WIN Sports & Entertainment Centre, Wollongong, NSW, Australia"
Chris Brown,Saturday 19 March 2022,"Toyota Center, Houston, TX, US"
Chris Brown,Saturday 05 March 2022,"Kulturhaus Stadtgarten, Neuruppin, Germany"
Chris Brown,Saturday 05 March 2022,"Brown County Music Center, Nashville, IN, US"
Usher,Wednesday 20 April 2022,"Usher Hall, Edinburgh, UK"
Usher,Thursday 21 April 2022,"Usher Hall, Edinburgh, UK"
Usher,Tuesday 28 June 2022,"Usher Hall, Edinburgh, UK"
Usher,Wednesday 13 April 2022,"Usher Hall, Edinburgh, UK"
Usher,Thursday 07 April 2022,"Usher Hall, Edinburgh, UK"
Usher,Saturday 09 April 2022,"Usher Hall, Edinburgh, UK"
Usher,Thursday 26 May 2022,"Usher Hall, Edinburgh, UK"
Usher,Wednesday 19 October 2022,"Usher Hall, Edinburgh, UK"
Usher,Wednesday 23 November 2022,"Usher Hall, Edinburgh, UK"
Usher,Wednesday 05 October 2022,"Usher Hall, Edinburgh, UK"
Flo Rida,Wednesday 09 November 2022,"Five Flags Center, Dubuque, IA, US"
Doja Cat,Wednesday 02 March 2022,"YouTube Theater, Inglewood, CA, US"
Olivia Rodrigo,Thursday 07 July 2022,"Eventim Apollo, London, UK"
Olivia Rodrigo,Wednesday 06 July 2022,"Eventim Apollo, London, UK"
Olivia Rodrigo,Tuesday 21 June 2022,"Zénith Paris - La Villette, Paris, France"
Olivia Rodrigo,Sunday 19 June 2022,"Forest National / Vorst Nationaal, Brussels, Belgium"
Olivia Rodrigo,Thursday 16 June 2022,"Fabrique, Milan, Italy"
Olivia Rodrigo,Sunday 03 July 2022,"O2 Apollo, Manchester, UK"
Olivia Rodrigo,Wednesday 22 June 2022,"AFAS Live, Amsterdam, Netherlands"
Olivia Rodrigo,Monday 04 July 2022,"O2 Academy Birmingham, Birmingham, UK"
Olivia Rodrigo,Saturday 02 July 2022,"O2 Academy Glasgow, Glasgow, UK"
Olivia Rodrigo,Wednesday 15 June 2022,"Halle 622, Zürich, Switzerland"
Ciara,Wednesday 02 March 2022,"YouTube Theater, Inglewood, CA, US"
Pitbull,Friday 27 May 2022,"Pool, Talking Stick Resort, Scottsdale, AZ, US"
Pitbull,Saturday 12 February 2022,"Fantasy Springs Resort Casino, Indio, CA, US"
Pitbull,Saturday 28 May 2022,"Laughlin Event Center, Laughlin, NV, US"
Pitbull,Friday 04 March 2022,"Lynn Auditorium, Lynn, MA, US"
Pitbull,Tuesday 28 February 2023,"Grand Theater, Foxwoods Resort Casino, Mashantucket, CT, US"
Pitbull,Saturday 05 March 2022,"Hard Rock Live at Etess Arena, Atlantic City, NJ, US"
Pitbull,Friday 30 September 2022,"Nugget Event Center, Sparks, NV, US"
Pitbull,Sunday 13 March 2022,"Global Event Center at Winstar World Casino and Resort, Thackerville, OK, US"
Pitbull,Monday 28 March 2022,"The Colosseum, Caesar's Windsor, Windsor, ON, Canada"
Kevin Gates,Friday 08 April 2022,"Mobile Civic Center, Mobile, AL, US"
Kevin Gates,Friday 18 March 2022,"Concrete Street Amphitheater, Corpus Christi, TX, US"
Kevin Gates,Saturday 09 April 2022,"Fayetteville Motor Sports Park, Fayetteville, NC, US"
Kevin Gates,Saturday 16 April 2022,"Red Rocks Amphitheatre, Morrison, CO, US"
Britney Spears,Friday 18 February 2022,"Soda Bar, San Diego, CA, US"
Black Eyed Peas,Thursday 14 July 2022,"Arènes de Nîmes, Nîmes, France"
Black Eyed Peas,Wednesday 15 June 2022,"Open Air Belval, Belval, Luxembourg"
Black Eyed Peas,Saturday 04 June 2022,"Pearse Stadium, Galway, Ireland"
Black Eyed Peas,Saturday 25 June 2022,"Hippodrome de Longchamp, Paris, France"
Black Eyed Peas,Sunday 10 July 2022,"Rockhal, Esch Sur Alzette, Luxembourg"
Sean Paul,Tuesday 12 April 2022,"O2 Academy Glasgow, Glasgow, UK"
Sean Paul,Saturday 16 April 2022,"SSE Arena, Wembley, London, UK"
Sean Paul,Sunday 17 April 2022,"First Direct Arena, Leeds, UK"
Sean Paul,Wednesday 20 April 2022,"Motorpoint Arena Nottingham, Nottingham, UK"
Sean Paul,Wednesday 13 April 2022,"O2 City Hall, Newcastle, Newcastle Upon Tyne, UK"
Sean Paul,Monday 11 April 2022,"O2 Academy Edinburgh, Edinburgh, UK"
Sean Paul,Friday 15 April 2022,"Bowlers Exhibition Centre, Manchester, UK"
