streaming_rank,artist,lead_streams,featured_streams,Tracks,1b+,100m+,10m+,1m+,last_update
1,Drake,44536306403,17365495866,250,5,116,242,245,02/04/22
2,Ed Sheeran,33626490825,2470098686,214,9,58,161,191,02/03/22
3,Bad Bunny,31591913975,4259239853,141,3,87,134,140,02/05/22
4,Ariana Grande,29293717743,1853878508,181,4,63,125,175,02/05/22
5,The Weeknd,29162520751,3653938791,177,6,67,142,159,02/05/22
6,Justin Bieber,28202643473,8166454424,221,6,53,167,193,02/05/22
7,Post Malone,26801278231,2197884551,82,8,53,65,66,02/05/22
8,Eminem,26629980366,3743848368,278,3,58,221,257,02/05/22
9,Taylor Swift,26047353974,332167296,319,1,72,245,309,02/05/22
10,BTS,23383114304,228285591,253,1,86,197,253,02/05/22
11,J Balvin,23317542470,9243236186,233,2,63,137,214,02/05/22
12,Kanye West,21543324917,5101637399,237,0,56,188,215,02/05/22
13,Billie Eilish,20535450868,0,62,4,41,57,61,02/05/22
14,Juice WRLD,19908917224,2925051878,115,1,55,108,114,02/05/22
15,Coldplay,19293972991,0,296,4,31,161,272,02/05/22
16,Ozuna,19284107500,6950804227,207,1,46,146,190,02/02/22
17,XXXTENTACION,19223757089,2413377656,131,6,40,103,121,02/05/22
18,Khalid,19179695071,2470259407,110,6,37,85,103,02/02/22
19,Imagine Dragons,18719601401,59187165,145,4,37,107,127,02/05/22
20,Dua Lipa,18646545025,304554358,190,5,32,75,161,02/05/22
21,Travis Scott,18607506940,8730522004,112,3,42,90,106,02/05/22
22,Rihanna,18478408935,7388115149,273,1,44,109,198,02/05/22
23,Maroon 5,17885419776,17080,238,4,28,105,194,02/05/22
24,Shawn Mendes,17153383612,41691426,125,4,31,93,121,02/04/22
25,David Guetta,16754947897,1073928030,656,1,43,132,364,02/05/22
26,Calvin Harris,16108379138,382884731,218,2,28,81,174,01/29/22
27,Bruno Mars,15769181591,3473673302,78,4,31,60,72,02/04/22
28,Daddy Yankee,15762014545,4964996168,340,3,39,87,203,02/05/22
29,Sam Smith,15539013568,263960615,139,3,30,80,131,02/05/22
30,Queen,14787348316,30761102,557,4,23,89,398,02/05/22
31,Kendrick Lamar,14652213419,7875334593,102,1,32,90,96,02/05/22
32,The Chainsmokers,14351299180,381349765,174,3,24,72,150,01/30/22
33,One Direction,13943991229,0,126,0,40,102,118,12/31/21
34,Chris Brown,13732766210,7803996315,395,0,36,185,324,02/05/22
35,Beyoncé,13689083562,1898945339,342,1,32,152,246,02/05/22
36,Future,13532541811,8255367726,460,1,26,204,338,01/31/22
37,Sia,13410687404,2856769173,316,3,26,105,228,01/04/22
38,Nicki Minaj,13374055681,10132382259,160,1,32,113,153,02/02/22
39,Lady Gaga,13125311707,85988584,306,1,26,104,188,02/05/22
