,id,name,popularity,type,uri,followers.total
0,3TVXtAsR1Inumwj472S9r4,Drake,98,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4,60756197
1,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,96,artist,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,92183048
2,4q3ewBCX7sLwd24euuV69X,Bad Bunny,99,artist,spotify:artist:4q3ewBCX7sLwd24euuV69X,43398574
3,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,94,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,75691038
4,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,100,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,41539479
5,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,97,artist,spotify:artist:1uNFoZAHBGtllmzznpCI3s,56383561
6,246dkjvS1zLTtiykXe5h60,Post Malone,92,artist,spotify:artist:246dkjvS1zLTtiykXe5h60,35820209
7,7dGJo4pcD2V6oG8kP0tJRR,Eminem,94,artist,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,52032229
8,06HL4z0CvFAxyc27GXpf02,Taylor Swift,98,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02,48875021
9,3Nrfpe0tUJi4K4DXYWgMUX,BTS,96,artist,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,45323005
10,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,94,artist,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,32357935
11,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,95,artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,16313855
12,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,93,artist,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,56713552
13,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,96,artist,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,22218395
14,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,92,artist,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,33975350
15,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,91,artist,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY,31067023
16,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,92,artist,spotify:artist:15UsOTVnJzReFVN1VCnxy4,34446060
17,6LuN9FCkKOj5PcnpouEgny,Khalid,90,artist,spotify:artist:6LuN9FCkKOj5PcnpouEgny,14869795
18,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,93,artist,spotify:artist:53XhwfbYqKCa1cC15pYq2q,38171611
19,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,94,artist,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,31963084
20,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,93,artist,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,19743779
21,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,91,artist,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,47030399
22,04gDigrS5kc9YWfZHwBETP,Maroon 5,89,artist,spotify:artist:04gDigrS5kc9YWfZHwBETP,35098798
23,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,89,artist,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,36412887
24,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,90,artist,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,23806473
25,7CajNmpbOovFoOoasH2HaY,Calvin Harris,87,artist,spotify:artist:7CajNmpbOovFoOoasH2HaY,22488418
26,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,92,artist,spotify:artist:0du5cEVh5yTK9QJze8zA0C,37822395
27,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,89,artist,spotify:artist:4VMYDCV2IEDYJArk749S6m,25735571
28,2wY79sveU1sp5g7SokKOiI,Sam Smith,87,artist,spotify:artist:2wY79sveU1sp5g7SokKOiI,18725536
29,1dfeR4HaWDbWqFHLkxsg1d,Queen,88,artist,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,39601685
30,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,90,artist,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,19249560
31,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,85,artist,spotify:artist:69GGBxA162lTqCwzJG5jLp,18771667
32,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,88,artist,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,24778453
33,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,91,artist,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,15357749
34,6vWDO969PvNqNYHIOW5v0m,Beyoncé,87,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m,30281519
35,1RyvyyTE3xzB2ZywiAwp0i,Future,92,artist,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,11114299
36,5WUlDfRSoLAfcVSX1WnrxN,Sia,89,artist,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,22258939
37,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,90,artist,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,24004652
